anime name,action,adventure,romance,comedy,isekai,shounen,game,sci-fi,fantasy,slice of life,sports,harem,psycological,rating
horimiya,0,0,1,0.9,0,0.3,0,0,0,1,0,0,0,6.3
dororo,1,0.8,0.2,0,0,1,0,0,1,0,0,0,0.7,5
my hero academia,1,0,0.6,0.4,0,1,0,0.7,0.2,0.2,0.2,0.1,0,7
kakeguri,0,0,0,0.3,0,0.5,1,0,0,0.7,0.6,0.4,0.8,6.7
naruto,1,1,0.8,0.2,0,1,0,0,0.6,0,0,0,0,5.8
attack on titan,1,0.3,0.4,0.1,0,0.8,0,0.8,0,0,0,0,0.8,9.5
no game no life,0,1,0.6,0.9,1,0.8,1,0.7,1,0,0.7,0.75,0.25,8.9
doctor stone,0.7,1,0.6,1,0.7,1,0,1,0.2,0.5,0,0.2,0,8.4
promised neverland,0.5,1,0.7,0.5,0,1,0,0.9,0.8,0,0,0,1,8
solo leveling,1,0.3,0.1,0.3,0,1,0.8,0.5,0.8,0,0,0.1,0,8.5
dandadan,1,0,1,1,0,0.5,0,0.5,1,0.8,0,1,0.1,5
sakamoto days,1,0.4,0.6,1,0,0,0,0,0.2,0.8,0,0,0,6.7
oshi no ko,0,0,1,0.7,0,1,0,0,0.5,0.8,0.7,0.8,0.4,8.7
blue lock,0.2,0,0,0.4,0,1,0.9,0,0,0.1,1,0,0.7,8
kuroko basketball,0,0,0.5,0.7,0,1,0.9,0,0,0.6,1,0,0,6.5
haikyuu,0,0,0.7,0.9,0,1,0.8,0,0,0.8,1,0,0,8
aoashi,0,0,0.9,0.4,0,1,0.7,0,0,0.5,1,0.5,0,5.5
frieren,1,1,1,0.7,0,0,0,0,1,0.7,0,0,0,9.9
death note,0.4,0,0.3,0.5,0,1,0.6,0,1,0,0,0.3,1,8.2
parasite,1,0,0.6,0,0,1,0,1,0.6,0,0,0,0.5,4.5
bleach,1,0,0.7,0.4,0,1,0,0,0.7,0,0,0.7,0,7.2
one piece,1,1,0.8,0.7,0,1,0,0,0.8,0.5,0,0.3,0,3.6
b the beginning,1,0.3,0.9,0,0,0.4,0,1,0.3,0,0,0,0.3,4.6
jujutsu kaisen,1,0.3,0.4,0.8,0,1,0,0,0.8,0.2,0,0,0.7,7.1
