anime name,action,adventure,romance,comedy,isekai,shounen,game,sci-fi,fantasy,slice of life,sports,harem,psycological,rating
horimiya,0,0,1,1,0,0,0,0,0,1,0,0,0,6.8
dororo,1,1,0,0,0,1,0,0,1,0,0,0,1,5
my hero academia,1,0,1,0,0,1,0,1,0,0,0,0,0,7
kakeguri,0,0,0,0,0,0,1,0,0,1,1,0,1,6.7
naruto,1,1,1,0,0,1,0,0,0,0,0,0,0,5.8
attack on titan,1,0,0,0,0,1,0,1,0,0,0,0,1,9.5
no game no life,0,1,0,1,1,1,1,1,1,0,1,1,0,8.9
doctor stone,1,1,0,1,1,1,0,1,0,1,0,0,0,8.4
promised neverland,1,1,0,0,0,1,0,1,1,0,0,0,1,8
solo leveling,1,1,0,0,0,1,1,1,1,0,0,0,0,8.5
dandadan,1,1,1,1,0,0,0,0,1,1,0,1,0,5
sakamoto days,1,1,1,1,0,0,0,0,0,1,0,0,0,6.7
oshi no ko,0,0,1,0,0,1,0,0,0,1,1,1,0,8.7
blue lock,0,0,0,0,0,1,1,0,0,0,1,0,0,8
kuroko basketball,0,0,0,1,0,1,1,0,0,1,1,0,0,6.5
haikyuu,0,0,0,1,0,1,1,0,0,1,1,0,0,8
aoashi,0,0,1,1,0,1,1,0,0,1,1,1,0,5.5
frieren,1,1,1,1,0,0,0,0,1,1,0,0,0,9.9
death note,0,0,0,0,0,1,0,0,1,0,0,0,1,8.2
parasite,1,0,1,0,0,1,0,1,1,0,0,0,1,4.5
bleach,1,0,1,0,0,1,0,0,1,0,0,1,0,7.2
one piece,1,1,1,0,0,1,0,0,1,0,0,0,0,3.6
b the beginning,1,0,1,0,0,0,0,1,0,0,0,0,1,4.6
jujutsu kaisen,1,0,0,0,0,1,0,0,1,0,0,0,0,7.1
mashle,,,,,,,,,,,,,,
mob psycho,,,,,,,,,,,,,,
jojo bizzare adventures,,,,,,,,,,,,,,
seraph of the end,,,,,,,,,,,,,,
vanitas no carte,,,,,,,,,,,,,,
prince of stride,,,,,,,,,,,,,,
that time I got reincarnated as a slime,,,,,,,,,,,,,,
I was reincarnated as the 7th prince,,,,,,,,,,,,,,
reincarnated as the worlds best assasin,,,,,,,,,,,,,,
seven deadly sins,,,,,,,,,,,,,,
boruto,,,,,,,,,,,,,,
tomodachi game,,,,,,,,,,,,,,
kiss x sis,,,,,,,,,,,,,,
high card,,,,,,,,,,,,,,
charlotte,,,,,,,,,,,,,,
one punch man,,,,,,,,,,,,,,
hunter x hunter,,,,,,,,,,,,,,
assasination classroom,,,,,,,,,,,,,,
fullmetal alchemist,,,,,,,,,,,,,,
black clover,,,,,,,,,,,,,,
tokyo ghoul,,,,,,,,,,,,,,
sword art online,,,,,,,,,,,,,,
darling in the franxx,,,,,,,,,,,,,,
kaguya love is war,,,,,,,,,,,,,,
some guys revenge sha,,,,,,,,,,,,,,
quintessal quintuplets,,,,,,,,,,,,,,
anos voldigold,,,,,,,,,,,,,,
dungeon food,,,,,,,,,,,,,,
re monster,,,,,,,,,,,,,,
re zero,,,,,,,,,,,,,,
re life,,,,,,,,,,,,,,
yozakura family,,,,,,,,,,,,,,
ragna crimson,,,,,,,,,,,,,,
blue exorcist,,,,,,,,,,,,,,
fire force,,,,,,,,,,,,,,
god of highschool,,,,,,,,,,,,,,
vinland saga,,,,,,,,,,,,,,
demon slayer,,,,,,,,,,,,,,
skate infinty,,,,,,,,,,,,,,
tokyo revengers,,,,,,,,,,,,,,
tower of god,,,,,,,,,,,,,,
hells paradise,,,,,,,,,,,,,,
rising of the shield hero,,,,,,,,,,,,,,
classroom of the elite,,,,,,,,,,,,,,
kaiju no 8,,,,,,,,,,,,,,
ninja kamui,,,,,,,,,,,,,,
shangri la frontier,,,,,,,,,,,,,,
cyber punk edgerunners,,,,,,,,,,,,,,
jobbless reincarnation,,,,,,,,,,,,,,
wind breaker,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
lycoris recoil,,,,,,,,,,,,,,
akame ga kill,,,,,,,,,,,,,,
darwins game,,,,,,,,,,,,,,
chainsaw man,,,,,,,,,,,,,,
konosuba,,,,,,,,,,,,,,
the devil is a part timer,,,,,,,,,,,,,,
talentless nana,,,,,,,,,,,,,,
noragami,,,,,,,,,,,,,,
lovely complex,,,,,,,,,,,,,,
angel beats,,,,,,,,,,,,,,
violet evergarden,,,,,,,,,,,,,,
a silent voice,,,,,,,,,,,,,,
weathering with you,,,,,,,,,,,,,,
zom 100,,,,,,,,,,,,,,
monster musume,,,,,,,,,,,,,,
highschool dxd,,,,,,,,,,,,,,
saiki k,,,,,,,,,,,,,,
euphoinium,,,,,,,,,,,,,,
devil man cry baby,,,,,,,,,,,,,,
bungo stray dogs,,,,,,,,,,,,,,
free!!!,,,,,,,,,,,,,,
battle game in 5 secs,,,,,,,,,,,,,,
cautious hero,,,,,,,,,,,,,,
fate zero,,,,,,,,,,,,,,
7 seeds,,,,,,,,,,,,,,
